,as_of_date,company_name,followers_count
2306,2015-09-22,Fastenal,25133
2312,2015-09-22,Netflix,230749
2316,2015-09-22,Costco Wholesale,113377
2331,2015-09-22,Splunk,44949
2335,2015-09-22,Vertex Pharmaceuticals,46030
2354,2015-09-22,Cadence Design Systems,40300
2371,2015-09-22,Comcast,137649
2376,2015-09-22,O'Reilly Auto Parts,15380
2391,2015-09-22,PACCAR,27102
2423,2015-09-22,NetEase,13286
2435,2015-09-22,Activision,68712
2437,2015-09-22,Qualcomm,219950
2439,2015-09-22,Paychex,39457
2456,2015-09-22,Dexcom,6810
2490,2015-09-22,ADP,263705
2548,2015-09-22,Illumina,46708
2573,2015-09-22,NVIDIA,141640
2574,2015-09-22,PepsiCo,1021569
2580,2015-09-22,Intuit,98826
2581,2015-09-22,Amgen,188544
2587,2015-09-22,Facebook,1041268
2589,2015-09-22,Microsoft,2550574
2638,2015-09-23,Cognizant,712670
2649,2015-09-23,CDW,55497
2652,2015-09-23,Intel Corporation,639167
2659,2015-09-23,Cisco,1053993
2660,2015-09-23,Fiserv,91617
2670,2015-09-23,Sirius XM Radio Inc.,20668
2674,2015-09-23,T-Mobile,167251
2681,2015-09-23,eBay,199189
2685,2015-09-23,Adobe,476445
2686,2015-09-23,Amazon,1320308
2697,2015-09-23,Xilinx,50119
2708,2015-09-23,Apple,2601798
2715,2015-09-23,Cintas,46561
2718,2015-09-23,Verisk Analytics,7271
2724,2015-09-23,Google,3634917
2735,2015-09-23,Texas Instruments,160925
2744,2015-09-23,Exelon,44807
2752,2015-09-23,TripAdvisor,103040
2754,2015-09-23,Workday,77285
2759,2015-09-23,Biogen,83343
2762,2015-09-23,CSX,38606
2767,2015-09-23,Electronic Arts (EA),212245
2785,2015-09-23,Starbucks,603044
2798,2015-09-23,Gilead Sciences,91756
2799,2015-09-23,Dollar Tree Stores,21271
2802,2015-09-23,Cerner Corporation,82021
2821,2015-09-23,Fastenal,25174
2826,2015-09-23,Netflix,231428
2829,2015-09-23,Costco Wholesale,113571
2845,2015-09-23,Splunk,45043
2849,2015-09-23,Vertex Pharmaceuticals,46079
2868,2015-09-23,Cadence Design Systems,40345
2884,2015-09-23,Comcast,137808
2890,2015-09-23,O'Reilly Auto Parts,15393
2905,2015-09-23,PACCAR,27118
2937,2015-09-23,NetEase,13324
2949,2015-09-23,Activision,68785
2951,2015-09-23,Qualcomm,220128
2953,2015-09-23,Paychex,39481
2970,2015-09-23,Dexcom,6833
3004,2015-09-23,ADP,263935
3062,2015-09-23,Illumina,46760
3088,2015-09-23,NVIDIA,141784
3091,2015-09-23,PepsiCo,1022803
3098,2015-09-23,Copart,9033
3101,2015-09-23,Intuit,98917
3106,2015-09-23,Amgen,188705
3113,2015-09-23,Facebook,1042414
3115,2015-09-23,Microsoft,2552996
3170,2015-09-24,Cognizant,713762
3181,2015-09-24,CDW,55527
3184,2015-09-24,Intel Corporation,639748
3191,2015-09-24,Cisco,1054855
3192,2015-09-24,Fiserv,91743
3202,2015-09-24,Sirius XM Radio Inc.,20686
3206,2015-09-24,T-Mobile,167420
3213,2015-09-24,eBay,199397
3217,2015-09-24,Adobe,477037
3218,2015-09-24,Amazon,1321841
3229,2015-09-24,Xilinx,50158
3239,2015-09-24,Apple,2604379
3247,2015-09-24,Cintas,46600
3250,2015-09-24,Verisk Analytics,7303
3256,2015-09-24,Google,3638140
3267,2015-09-24,Texas Instruments,161088
3276,2015-09-24,Exelon,44852
3284,2015-09-24,TripAdvisor,103199
3286,2015-09-24,Workday,77417
3291,2015-09-24,Biogen,83485
3294,2015-09-24,CSX,38655
3299,2015-09-24,Electronic Arts (EA),212441
3318,2015-09-24,Starbucks,604092
3330,2015-09-24,Gilead Sciences,91935
3331,2015-09-24,Dollar Tree Stores,21283
3334,2015-09-24,Cerner Corporation,82127
3353,2015-09-24,Fastenal,25205
3358,2015-09-24,Netflix,232073
3361,2015-09-24,Costco Wholesale,113748
3377,2015-09-24,Splunk,45125
3381,2015-09-24,Vertex Pharmaceuticals,46127
3400,2015-09-24,Cadence Design Systems,40380
3416,2015-09-24,Comcast,137968
3422,2015-09-24,O'Reilly Auto Parts,15407
3437,2015-09-24,PACCAR,27139
3469,2015-09-24,NetEase,13353
3481,2015-09-24,Activision,68856
3483,2015-09-24,Qualcomm,220342
3485,2015-09-24,Paychex,39508
3503,2015-09-24,Dexcom,6858
3536,2015-09-24,ADP,264146
3594,2015-09-24,Illumina,46820
3620,2015-09-24,NVIDIA,141909
3623,2015-09-24,PepsiCo,1024017
3630,2015-09-24,Copart,9048
3633,2015-09-24,Intuit,99009
3638,2015-09-24,Amgen,188861
3645,2015-09-24,Facebook,1043505
3648,2015-09-24,Microsoft,2555384
3704,2015-09-25,Cognizant,714419
3715,2015-09-25,CDW,55545
3718,2015-09-25,Intel Corporation,640161
3725,2015-09-25,Cisco,1055525
3726,2015-09-25,Fiserv,91830
3736,2015-09-25,Sirius XM Radio Inc.,20693
3740,2015-09-25,T-Mobile,167550
3747,2015-09-25,eBay,199553
3751,2015-09-25,Adobe,477462
3752,2015-09-25,Amazon,1323111
3763,2015-09-25,Xilinx,50193
3774,2015-09-25,Apple,2606321
3781,2015-09-25,Cintas,46630
3784,2015-09-25,Verisk Analytics,7335
3790,2015-09-25,Google,3640410
3801,2015-09-25,Texas Instruments,161224
3810,2015-09-25,Exelon,44948
3818,2015-09-25,TripAdvisor,103302
3820,2015-09-25,Workday,77538
3825,2015-09-25,Biogen,83563
3828,2015-09-25,CSX,38691
3833,2015-09-25,Electronic Arts (EA),212579
3852,2015-09-25,Starbucks,604843
3864,2015-09-25,Gilead Sciences,92079
3865,2015-09-25,Dollar Tree Stores,21298
3868,2015-09-25,Cerner Corporation,82179
3887,2015-09-25,Fastenal,25234
3892,2015-09-25,Netflix,232518
3895,2015-09-25,Costco Wholesale,113868
3911,2015-09-25,Splunk,45184
3915,2015-09-25,Vertex Pharmaceuticals,46157
3934,2015-09-25,Cadence Design Systems,40420
3950,2015-09-25,Comcast,138084
3956,2015-09-25,O'Reilly Auto Parts,15416
3971,2015-09-25,PACCAR,27153
4003,2015-09-25,NetEase,13380
4015,2015-09-25,Activision,68932
4017,2015-09-25,Qualcomm,220498
4019,2015-09-25,Paychex,39535
4037,2015-09-25,Dexcom,6875
4071,2015-09-25,ADP,264313
4128,2015-09-25,Illumina,46861
4154,2015-09-25,NVIDIA,142015
4157,2015-09-25,PepsiCo,1024867
4164,2015-09-25,Copart,9062
4167,2015-09-25,Intuit,99089
4172,2015-09-25,Amgen,188991
4179,2015-09-25,Facebook,1044336
4182,2015-09-25,Microsoft,2557167
4243,2015-09-26,Cognizant,715250
4254,2015-09-26,CDW,55562
4257,2015-09-26,Intel Corporation,640611
4264,2015-09-26,Cisco,1056203
4265,2015-09-26,Fiserv,91922
4275,2015-09-26,Sirius XM Radio Inc.,20712
4279,2015-09-26,T-Mobile,167685
4286,2015-09-26,eBay,199722
4290,2015-09-26,Adobe,477943
4291,2015-09-26,Amazon,1324449
4302,2015-09-26,Xilinx,50231
4312,2015-09-26,Apple,2608403
4320,2015-09-26,Cintas,46661
4323,2015-09-26,Verisk Analytics,7361
4329,2015-09-26,Google,3642948
4340,2015-09-26,Texas Instruments,161355
4349,2015-09-26,Exelon,44982
4357,2015-09-26,TripAdvisor,103416
4359,2015-09-26,Workday,77666
4364,2015-09-26,Biogen,83648
4367,2015-09-26,CSX,38715
4372,2015-09-26,Electronic Arts (EA),212701
4391,2015-09-26,Starbucks,605436
4403,2015-09-26,Gilead Sciences,92208
4404,2015-09-26,Dollar Tree Stores,21310
4407,2015-09-26,Cerner Corporation,82246
4426,2015-09-26,Fastenal,25256
4431,2015-09-26,Netflix,232998
4436,2015-09-26,Costco Wholesale,113995
4450,2015-09-26,Splunk,45243
4454,2015-09-26,Vertex Pharmaceuticals,46182
4473,2015-09-26,Cadence Design Systems,40445
4489,2015-09-26,Comcast,138186
4495,2015-09-26,O'Reilly Auto Parts,15433
4510,2015-09-26,PACCAR,27175
4542,2015-09-26,NetEase,13421
4554,2015-09-26,Activision,68997
4555,2015-09-26,Qualcomm,220646
4558,2015-09-26,Paychex,39547
4576,2015-09-26,Dexcom,6891
4610,2015-09-26,ADP,264496
4667,2015-09-26,Illumina,46903
4693,2015-09-26,NVIDIA,142139
4696,2015-09-26,PepsiCo,1025728
4703,2015-09-26,Copart,9075
4706,2015-09-26,Intuit,99160
4712,2015-09-26,Amgen,189111
4713,2015-09-26,Microsoft,2559076
4719,2015-09-26,Facebook,1045293
4782,2015-09-27,Cognizant,715876
4793,2015-09-27,CDW,55570
4796,2015-09-27,Intel Corporation,640943
4803,2015-09-27,Cisco,1056679
4804,2015-09-27,Fiserv,91981
4814,2015-09-27,Sirius XM Radio Inc.,20718
4819,2015-09-27,T-Mobile,167766
4825,2015-09-27,eBay,199829
4829,2015-09-27,Adobe,478233
4830,2015-09-27,Amazon,1325304
4841,2015-09-27,Xilinx,50253
4851,2015-09-27,Apple,2609746
4859,2015-09-27,Cintas,46678
4862,2015-09-27,Verisk Analytics,7372
4868,2015-09-27,Google,3644650
4879,2015-09-27,Texas Instruments,161446
4888,2015-09-27,Exelon,45004
4896,2015-09-27,TripAdvisor,103491
4898,2015-09-27,Workday,77744
4903,2015-09-27,Biogen,83705
4906,2015-09-27,CSX,38726
4911,2015-09-27,Electronic Arts (EA),212795
4930,2015-09-27,Starbucks,605794
4942,2015-09-27,Gilead Sciences,92305
4943,2015-09-27,Dollar Tree Stores,21327
4946,2015-09-27,Cerner Corporation,82283
4965,2015-09-27,Fastenal,25264
4970,2015-09-27,Netflix,233280
4975,2015-09-27,Costco Wholesale,114078
4989,2015-09-27,Splunk,45280
4993,2015-09-27,Vertex Pharmaceuticals,46216
5012,2015-09-27,Cadence Design Systems,40468
5028,2015-09-27,Comcast,138241
5034,2015-09-27,O'Reilly Auto Parts,15441
5049,2015-09-27,PACCAR,27186
5081,2015-09-27,NetEase,13445
5093,2015-09-27,Activision,69036
5094,2015-09-27,Qualcomm,220762
5097,2015-09-27,Paychex,39560
5115,2015-09-27,Dexcom,6899
5149,2015-09-27,ADP,264585
5206,2015-09-27,Illumina,46928
5232,2015-09-27,NVIDIA,142219
5234,2015-09-27,PepsiCo,1026226
5242,2015-09-27,Copart,9084
5245,2015-09-27,Intuit,99200
5251,2015-09-27,Amgen,189206
5257,2015-09-27,Microsoft,2560373
5258,2015-09-27,Facebook,1045976
5322,2015-09-28,Cognizant,716810
5333,2015-09-28,CDW,55600
5336,2015-09-28,Intel Corporation,641510
5343,2015-09-28,Cisco,1057557
5344,2015-09-28,Fiserv,92092
5354,2015-09-28,Sirius XM Radio Inc.,20731
5358,2015-09-28,T-Mobile,167927
5365,2015-09-28,eBay,200018
5369,2015-09-28,Adobe,478784
5370,2015-09-28,Amazon,1326922
5381,2015-09-28,Xilinx,50301
5391,2015-09-28,Apple,2612274
5399,2015-09-28,Cintas,46712
5402,2015-09-28,Verisk Analytics,7421
5408,2015-09-28,Google,3647999
5419,2015-09-28,Texas Instruments,161598
5428,2015-09-28,Exelon,45042
5436,2015-09-28,TripAdvisor,103645
5438,2015-09-28,Workday,77878
5443,2015-09-28,Biogen,83835
5446,2015-09-28,CSX,38756
5451,2015-09-28,Electronic Arts (EA),212973
5470,2015-09-28,Starbucks,606458
5482,2015-09-28,Gilead Sciences,92519
5483,2015-09-28,Dollar Tree Stores,21348
5486,2015-09-28,Cerner Corporation,82352
5505,2015-09-28,Fastenal,25292
5510,2015-09-28,Netflix,233876
5515,2015-09-28,Costco Wholesale,114222
5529,2015-09-28,Splunk,45340
5533,2015-09-28,Vertex Pharmaceuticals,46268
5552,2015-09-28,Cadence Design Systems,40506
5567,2015-09-28,Comcast,138371
5574,2015-09-28,O'Reilly Auto Parts,15453
5589,2015-09-28,PACCAR,27194
5621,2015-09-28,NetEase,13474
5633,2015-09-28,Activision,69115
5635,2015-09-28,Qualcomm,220970
5637,2015-09-28,Paychex,39585
5655,2015-09-28,Dexcom,6917
5689,2015-09-28,ADP,264798
5746,2015-09-28,Illumina,46982
5772,2015-09-28,NVIDIA,142382
5776,2015-09-28,PepsiCo,1027503
5782,2015-09-28,Copart,9102
5785,2015-09-28,Intuit,99276
5790,2015-09-28,Amgen,189378
5797,2015-09-28,Facebook,1047254
5798,2015-09-28,Microsoft,2562761
5861,2015-09-29,Cognizant,717400
5872,2015-09-29,CDW,55607
5875,2015-09-29,Intel Corporation,641838
5882,2015-09-29,Cisco,1058102
5883,2015-09-29,Fiserv,92163
5893,2015-09-29,Sirius XM Radio Inc.,20750
5897,2015-09-29,T-Mobile,168006
5904,2015-09-29,eBay,200153
5908,2015-09-29,Adobe,479107
5909,2015-09-29,Amazon,1328014
5920,2015-09-29,Xilinx,50333
5930,2015-09-29,Apple,2613751
5938,2015-09-29,Cintas,46734
5941,2015-09-29,Verisk Analytics,7438
5947,2015-09-29,Google,3650004
5958,2015-09-29,Texas Instruments,161692
5967,2015-09-29,Exelon,45063
5975,2015-09-29,TripAdvisor,103738
5977,2015-09-29,Workday,77953
5982,2015-09-29,Biogen,83895
5985,2015-09-29,CSX,38777
5990,2015-09-29,Electronic Arts (EA),213087
6009,2015-09-29,Starbucks,606851
6021,2015-09-29,Gilead Sciences,92647
6022,2015-09-29,Dollar Tree Stores,21371
6025,2015-09-29,Cerner Corporation,82380
6044,2015-09-29,Fastenal,25311
6049,2015-09-29,Netflix,234228
6053,2015-09-29,Costco Wholesale,114304
6068,2015-09-29,Splunk,45376
6072,2015-09-29,Vertex Pharmaceuticals,46297
6090,2015-09-29,Cadence Design Systems,40534
6107,2015-09-29,Comcast,138431
6113,2015-09-29,O'Reilly Auto Parts,15460
6128,2015-09-29,PACCAR,27209
6160,2015-09-29,NetEase,13508
6172,2015-09-29,Activision,69159
6174,2015-09-29,Qualcomm,221067
6176,2015-09-29,Paychex,39590
6194,2015-09-29,Dexcom,6927
6228,2015-09-29,ADP,264938
6285,2015-09-29,Illumina,47011
6311,2015-09-29,NVIDIA,142497
6314,2015-09-29,PepsiCo,1028221
6321,2015-09-29,Copart,9109
6324,2015-09-29,Intuit,99323
6329,2015-09-29,Amgen,189489
6336,2015-09-29,Facebook,1047992
6337,2015-09-29,Microsoft,2564094
6390,2015-09-30,AMD,119384
6403,2015-09-30,Cognizant,718508
6414,2015-09-30,CDW,55638
6417,2015-09-30,Intel Corporation,642501
6424,2015-09-30,Cisco,1059253
6425,2015-09-30,Fiserv,92314
6435,2015-09-30,Sirius XM Radio Inc.,20782
6439,2015-09-30,T-Mobile,168200
6446,2015-09-30,eBay,200390
6450,2015-09-30,Adobe,479749
6451,2015-09-30,Amazon,1329931
6462,2015-09-30,Xilinx,50391
6472,2015-09-30,Apple,2616808
6480,2015-09-30,Cintas,46794
6483,2015-09-30,Verisk Analytics,7493
6489,2015-09-30,Google,3653915
6500,2015-09-30,Texas Instruments,161901
6509,2015-09-30,Exelon,45106
6517,2015-09-30,TripAdvisor,103917
6519,2015-09-30,Workday,78165
6524,2015-09-30,Biogen,84061
6527,2015-09-30,CSX,38809
6532,2015-09-30,Electronic Arts (EA),213310
6551,2015-09-30,Starbucks,607663
6563,2015-09-30,Gilead Sciences,92903
6564,2015-09-30,Dollar Tree Stores,21403
6567,2015-09-30,Cerner Corporation,82471
6587,2015-09-30,Fastenal,25351
6591,2015-09-30,Netflix,235021
6596,2015-09-30,Costco Wholesale,114485
6610,2015-09-30,Splunk,45460
6614,2015-09-30,Vertex Pharmaceuticals,46365
6632,2015-09-30,Cadence Design Systems,40580
6649,2015-09-30,Comcast,138627
6655,2015-09-30,O'Reilly Auto Parts,15486
6670,2015-09-30,PACCAR,27241
6702,2015-09-30,NetEase,13543
6714,2015-09-30,Activision,69254
6716,2015-09-30,Qualcomm,221272
6718,2015-09-30,Paychex,39621
6736,2015-09-30,Dexcom,6959
6770,2015-09-30,ADP,265234
6827,2015-09-30,Illumina,47101
6853,2015-09-30,NVIDIA,142731
6856,2015-09-30,PepsiCo,1029653
6863,2015-09-30,Copart,9134
6866,2015-09-30,Intuit,99429
6871,2015-09-30,Amgen,189691
6878,2015-09-30,Microsoft,2566837
6879,2015-09-30,Facebook,1049384
6932,2015-10-01,AMD,119465
6947,2015-10-01,Cognizant,719228
6958,2015-10-01,CDW,55662
6961,2015-10-01,Intel Corporation,642975
6968,2015-10-01,Cisco,1060054
6969,2015-10-01,Fiserv,92404
6979,2015-10-01,Sirius XM Radio Inc.,20809
6983,2015-10-01,T-Mobile,168331
6990,2015-10-01,eBay,200547
6994,2015-10-01,Adobe,480193
6995,2015-10-01,Amazon,1331090
7006,2015-10-01,Xilinx,50428
7016,2015-10-01,Apple,2618680
7024,2015-10-01,Cintas,46836
7027,2015-10-01,Verisk Analytics,7516
7033,2015-10-01,Google,3656397
7044,2015-10-01,Texas Instruments,162032
7053,2015-10-01,Exelon,45141
7061,2015-10-01,TripAdvisor,104030
7063,2015-10-01,Workday,78290
7068,2015-10-01,Biogen,84161
7071,2015-10-01,CSX,38827
7076,2015-10-01,Electronic Arts (EA),213432
7095,2015-10-01,Starbucks,608146
7107,2015-10-01,Gilead Sciences,93061
7108,2015-10-01,Dollar Tree Stores,21419
7111,2015-10-01,Cerner Corporation,82534
7131,2015-10-01,Fastenal,25374
7135,2015-10-01,Netflix,235455
7139,2015-10-01,Costco Wholesale,114608
7154,2015-10-01,Splunk,45518
7158,2015-10-01,Vertex Pharmaceuticals,46393
7176,2015-10-01,Cadence Design Systems,40601
7196,2015-10-01,Comcast,138740
7199,2015-10-01,O'Reilly Auto Parts,15494
7214,2015-10-01,PACCAR,27260
7246,2015-10-01,NetEase,13551
7258,2015-10-01,Activision,69307
7259,2015-10-01,Qualcomm,221393
7262,2015-10-01,Paychex,39636
7280,2015-10-01,Dexcom,6982
7314,2015-10-01,ADP,265413
